latitude,longitude,priority_num,target_severity,endlatitude,endlongitude,requires_road_closure,hour_of_day,day_of_week,month,hour_sin,hour_cos,dow_sin,dow_cos,is_night,is_weekend,is_monsoon,is_unresolved,is_heavy_vehicle,is_highway,dist_to_center_km,is_on_corridor,location_cluster,cluster_event_density,has_junction,junction_freq,station_event_freq,cause_tier,zone_priority_rate,corridor_priority_rate,cluster_priority_rate,rush_x_corridor,tier_x_corridor,heavy_x_closure,event_cause_accident,event_cause_congestion,event_cause_construction,event_cause_debris,event_cause_fog_/_low_visibility,event_cause_others,event_cause_pot_holes,event_cause_procession,event_cause_protest,event_cause_public_event,event_cause_road_conditions,event_cause_tree_fall,event_cause_vehicle_breakdown,event_cause_vip_movement,event_cause_water_logging,event_type_planned,event_type_unplanned,veh_type_bmtc_bus,veh_type_car,veh_type_heavy_vehicle,veh_type_ksrtc_bus,veh_type_lcv,veh_type_others,veh_type_private_bus,veh_type_private_car,veh_type_three_wheeler,veh_type_truck,zone_central_zone_1,zone_central_zone_2,zone_east_zone_1,zone_east_zone_2,zone_north_zone_1,zone_north_zone_2,zone_south_zone_1,zone_south_zone_2,zone_west_zone_1,zone_west_zone_2,hour_peak_prox,junction_freq_norm,cluster_density_norm,escalation_index,volume_pc1_norm
13.0400041,77.5180991,1,5.589809758025802,0.0,0.0,0,17,3,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,0,0,1,0,0,11.249442790225851,1,6,304,0,1.0,141,0.45,0.3167701863354037,0.9889196675900277,0.6008230452674898,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.46604807684168,0.0,0.4263565891472868,0.7937760630323052,0.20057682923465434
12.9218755,77.6451585,1,6.049762658576228,0.0,0.0,0,4,1,1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,0,1,1,0,7.783945016060459,1,10,467,0,1.0,87,0.45,0.3167701863354037,1.0,0.7925531914893617,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7315500615986906,0.0,0.6790697674418604,0.7987242831302684,0.31946418619919487
12.955622,77.5857083,0,2.091501928950535,0.0,0.0,0,6,5,11,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,1,2.0211188442840538,0,19,674,1,6.0,86,0.4,0.5262689225289403,0.0,0.49534450651769085,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.44347064478827647,0.10204081632653061,0.9999999999999999,0.008265061970841491,0.5386210316476743
13.0061469,77.5794348,0,2.1816120743850926,13.0062394,77.5795156,1,17,3,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,0,0,0,1,1,4.178108958503049,0,13,484,0,1.0,235,0.3254493194823672,0.8300884955752212,0.0,0.75,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46604807684168,0.0,0.7054263565891473,0.20495839773874883,0.3318634810973372
12.95398,77.5852333,0,2.2203106724790054,0.0,0.0,0,4,1,1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,0,0,1,0,2.206553303527444,0,19,674,1,4.0,86,0.45,0.5262689225289403,0.0,0.49534450651769085,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7315500615986906,0.061224489795918366,0.9999999999999999,0.013634062738860066,0.5113501533251166
13.0664854,77.5998755,0,2.6792147085634896,,,0,3,1,11,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,1,0,0,1,0,0,10.566243501759965,0,5,311,0,1.0,104,0.85,0.7449324324324325,0.0,0.7014925373134329,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6716800337873545,0.0,0.43720930232558136,0.01251825158907598,0.2056824212515364
12.9328703,77.4879814,0,0.8273109332993152,0.0,0.0,0,7,1,1,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,0,0,1,1,0,12.33032484672687,0,24,220,0,1.0,37,0.45,0.5350109409190372,0.0,0.5705882352941176,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3321609078204233,0.0,0.2961240310077519,0.006190557412740257,0.139309725032069
12.973175,77.6003961,0,1.4497221127876,0.0,0.0,0,6,1,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,0,1,1,0.6520091138951319,0,3,525,0,1.0,169,0.4,0.7752100840336135,0.0,0.6980676328502415,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.44347064478827647,0.0,0.7689922480620155,0.008265061970841491,0.36176766291050383
12.97883573,77.59953728,1,6.583734103325945,,,0,12,0,6,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,1,1,0,0,0.9662039681300587,1,3,525,1,5.0,169,0.508088157516962,0.7752100840336135,1.0,0.6980676328502415,0,0.508088157516962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.30220437774392883,0.08163265306122448,0.7689922480620155,0.7907224712275503,0.4163094195556192
13.0373543,77.6540442,0,0.7149177968734016,0.0,0.0,0,5,1,1,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,1,0,0,1,0,0,9.743561673401507,0,23,167,0,1.0,221,0.45,0.34299516908212563,0.0,0.5367647058823529,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5917274805248814,0.0,0.213953488372093,0.011028157903716416,0.1006530997613902
